Session,Hemisphere,Neuron,LFP,EEG
jp003n03,none,0,0,0
jp004n03,none,0,0,0
jp005n03,none,0,0,0
jp007n03,none,0,0,0
jp009n05,none,0,0,0
jp011n01,none,0,0,0
jp012n01,none,0,0,0
jp013n03,none,0,0,0
jp014n02,none,0,0,0
jp016n05,none,0,0,0
jp034n02,none,0,0,0
jp045n02,none,0,0,0
jp050n01,none,0,0,0
jp053n01,none,0,0,0
jp054n01,left,1,1,0
jp055n01,none,0,0,0
jp056n01,none,0,0,0
jp058n01,none,0,0,0
jp060n01,left,1,1,0
jp061n01,left,1,1,0
jp062n01,none,0,0,0
jp064n01,left,1,1,0
jp065n01,none,0,0,0
jp067n01,none,0,0,0
jp068n01,none,0,0,0
jp083n01,left,1,1,0
jp090n01,left,1,1,0
jp098n01,left,1,1,0
jp101n01,none,0,0,0
jp104n01,left,1,1,0
jp106n01,left,1,1,0
jp107n01,left,1,1,0
jp110n01,left,1,1,0
jp111n01,left,1,1,0
jp113n01,left,1,1,0
jp114n01,left,1,1,0
jp116n01,none,0,0,0
jp119n01,left,1,1,0
jp121n01,left,1,1,0
jp123n01,left,1,1,0
jp124n01,left,1,1,0
jp125n01,left,1,1,0